"","Actor","Total.Gross","Num.Movies","Avg.Per.Movie","No.1.Movie","Gross.of.No.1.Movie"
"1","Amy Adams",1996.4,26,76.8,"Batman v Superman",312
"2","Ben Affleck",2173.8,36,60.4,"Batman v Superman",312
"3","Casey Affleck",862.2,21,41.1,"Interstellar",188
"4","Dianna Agron",131.6,4,32.9,"I Am Number Four",55.1
"5","Jessica Alba",931.1,23,40.5,"Fantastic Four (2005)",154.7
"6","Alan Alda",753,22,34.2,"What Women Want",182.8
"7","Joan Allen",854.3,24,35.6,"The Bourne Ultimatum",227.5
"8","Tim Allen",1763,20,88.1,"Toy Story 3",415
"9","Woody Allen",461.3,27,17.1,"Antz",90.8
"10","Mathieu Amalric",300.7,13,23.1,"Quantum of Solace",168.4
"11","Gillian Anderson",145.6,12,12.1,"X-Files",83.9
"12","Julie Andrews",663.7,13,51.1,"Sound of Music",158.7
"13","Jennifer Aniston",1467.2,29,50.6,"Bruce Almighty",242.8
"14","Aziz Ansari",168.6,3,56.2,"Epic",107.5
"15","Christina Applegate",1003.8,20,50.2,"Alvin and the Chipmunks 2",219.6
"16","Tom Arnold",415.9,18,23.1,"True Lies",146.3
"17","Gemma Arterton",513.8,12,42.8,"Quantum of Solace",168.4
"18","Kevin Bacon",1476.6,46,32.1,"Apollo 13",173.8
"19","Penn Badgley",134.6,6,22.4,"Easy A",58.4
"20","Alec Baldwin",2253.2,49,46,"Pearl Harbor",198.5
"21","Christian Bale",2207.6,36,61.3,"The Dark Knight",534.9
"22","Eric Bana",1029.2,16,64.3,"Star Trek",257.7
"23","Anne Bancroft",548,28,19.6,"The Graduate",104.9
"24","Antonio Banderas",2386.4,43,55.5,"Shrek 2",441.2
"25","Elizabeth Banks",2444.6,34,71.9,"Catching Fire",424.7
"26","Javier Bardem",532,15,35.5,"Skyfall",304.4
"27","Ben Barnes",287.7,5,57.5,"The Chronicles of Narnia: Prince Caspian",141.6
"28","Drew Barrymore",1612.9,35,46.1,"E.T.",435.1
"29","Justin Bartha",1133.8,11,103.1,"The Hangover",277.3
"30","Jay Baruchel",1074.4,18,59.7,"How to Train Your Dragon",217.6
"31","Kim Basinger",934.3,33,28.3,"Batman",251.2
"32","Angela Bassett",880,25,35.2,"Green Lantern",116.6
"33","Jason Bateman",1803.6,29,62.2,"Zootopia",307.9
"34","Kathy Bates",2290.1,45,50.9,"Titanic",658.7
"35","Sean Bean",1641.5,30,54.7,"Fellowship of the Ring",315.5
"36","Kate Beckinsale",998.7,21,47.6,"Pearl Harbor",198.5
"37","Ashley Bell",56.2,2,28.1,"The Last Exorcism",41
"38","Jamie Bell",572.8,18,31.8,"King Kong",218.1
"39","Kristen Bell",774.1,15,51.6,"Frozen",400.7
"40","Lake Bell",338.1,8,42.3,"It's Complicated",112.7
"41","Maria Bello",921.1,28,32.9,"Grown Ups",162
"42","Monica Bellucci",1027.9,16,64.2,"Passion of the Christ",370.8
"43","Roberto Benigni",88.9,11,8.1,"Life Is Beautiful",57.6
"44","Annette Bening",598.7,25,23.9,"American Beauty",130.1
"45","Melissa Benoist",50.5,2,25.3,"The Longest Ride",37.4
"46","Peter Berg",168.4,4,42.1,"Collateral",101
"47","Gael Garcia Bernal",104.1,20,5.2,"Babel",34.3
"48","Halle Berry",1856.6,29,64,"X-Men: The Last Stand",234.4
"49","Paul Bettany",1305,21,62.1,"Avengers: Age of Ultron",459
"50","Justin Bieber",79.2,2,39.6,"Justin Bieber",73
"51","Jessica Biel",772.7,22,35.1,"I Now Pronounce You Chuck and Larry",120.1
"52","Rachel Bilson",95.3,5,19.1,"Jumper",80.2
"53","Mike Binder",19.1,2,9.5,"The Upside of Anger",18.8
"54","Jack Black",1614.4,24,67.3,"King Kong",218.1
"55","Lucas Black",730.2,12,60.8,"Furious 7",353
"56","Macon Blair",NA,2,NA,"Blue Ruin",NA
"57","Cate Blanchett",2802.6,39,71.9,"Return of the King",377.8
"58","Nikki Blonsky",118.9,3,39.6,"Hairspray (2007)",118.9
"59","Orlando Bloom",2815.8,17,165.6,"Dead Man's Chest",423.3
"60","Emily Blunt",921.3,23,40.1,"Into the Woods",128
"61","Chadwick Boseman",154.6,3,51.5,"42",95
"62","Kate Bosworth",529.3,19,27.9,"Superman Returns",200.1
"63","John Boyega",936.9,2,468.4,"Star Wars: The Force Awakens",935.8
"64","Luke Bracey",103.8,4,25.9,"Point Break (2015)",28.8
"65","Zach Braff",281.7,6,47,"Oz The Great and Powerful",234.9
"66","Kenneth Branagh",626.4,17,36.8,"Harry Potter / Chamber of Secrets",262
"67","Russell Brand",1033.7,9,114.9,"Despicable Me 2",368.1
"68","Marlon Brando",552.5,12,46,"The Godfather",135
"69","Benjamin Bratt",752.2,19,39.6,"Despicable Me 2",368.1
"70","Ewen Bremner",746.9,14,53.3,"Pearl Harbor",198.5
"71","Abigail Breslin",1103.9,20,55.2,"Signs",228
"72","Chris 'Ludacris' Bridges",1269.6,12,105.8,"Furious 7",353
"73","Jeff Bridges",1640.1,49,33.5,"Iron Man",318.4
"74","Jim Broadbent",1111.4,42,26.5,"Harry Potter 6",302
"75","Matthew Broderick",1348,33,40.8,"Lion King",422.8
"76","Adam Brody",341.7,16,21.4,"Mr. & Mrs. Smith",186.3
"77","Adrien Brody",603.2,32,18.9,"King Kong",218.1
"78","Josh Brolin",1592.1,34,46.8,"Avengers: Age of Ultron",459
"79","Albert Brooks",722,20,36.1,"Finding Nemo",380.8
"80","Pierce Brosnan",1455.3,37,39.3,"Mrs. Doubtfire",219.2
"81","Chris Brown",268.7,5,53.7,"Think Like a Man",91.5
"82","Emily Browning",238.9,9,26.5,"Lemony Snicket",118.6
"83","Sandra Bullock",2462.6,35,70.4,"Minions",336
"84","Billy Burke",1652.4,14,118,"The Twilight Saga: Eclipse",300.5
"85","Ty Burrell",372.2,9,41.4,"The Incredible Hulk",134.8
"86","Gerard Butler",1399.6,28,50,"How to Train Your Dragon",217.6
"87","Amanda Bynes",435.6,7,62.2,"Robots",128.2
"88","Rose Byrne",1239.9,22,56.4,"Bridesmaids",169.1
"89","Nicolas Cage",2407,56,43,"National Treasure: Book of Secrets",220
"90","Michael Caine",3286.4,57,57.7,"The Dark Knight",534.9
"91","Neve Campbell",432.8,12,36.1,"Scream",103
"92","Steve Carell",2362.4,24,98.4,"Despicable Me 2",368.1
"93","Jim Carrey",2545.2,27,94.3,"The Grinch",260
"94","Helena Bonham Carter",2744.8,35,78.4,"Harry Potter / Deathly Hallows (P2)",381
"95","Dana Carvey",241.6,7,34.5,"Wayne's World",121.7
"96","Katie Cassidy",150.4,4,37.6,"Nightmare on Elm Street",63.1
"97","James Caviezel",730.9,20,36.5,"Passion of the Christ",370.8
"98","Henry Cavill",849.8,10,85,"Batman v Superman",312
"99","Cedric the Entertainer",1416.5,27,52.5,"Madagascar 3",216.4
"100","John Cena",228.5,5,45.7,"Trainwreck",110.2
"101","Michael Cera",489.6,11,44.5,"Juno",143.5
"102","Jackie Chan",1613.5,26,62.1,"Rush Hour 2",226.2
"103","Jay Chandrasekhar",NA,1,NA,"The Slammin' Salmon",NA
"104","Jessica Chastain",1091.8,16,68.2,"The Martian",228.4
"105","Don Cheadle",2475.4,33,75,"Avengers: Age of Ultron",459
"106","Cher",373.1,11,33.9,"Moonstruck",80.6
"107","Morris Chestnut",618.7,14,44.2,"Identity Thief",134.5
"108","Jay Chou",105.3,2,52.7,"The Green Hornet",98.8
"109","Erika Christensen",188.8,10,18.9,"Flightplan",89.7
"110","Hayden Christensen",867.7,10,86.8,"Revenge of the Sith",380.3
"111","Jamie Chung",570.7,8,71.3,"The Hangover Part II",254.5
"112","Thomas Haden Church",1154.4,18,64.1,"Spider-Man 3",336.5
"113","Jemaine Clement",387.5,9,43.1,"MIB 3",179
"114","George Clooney",2037.4,33,61.7,"Gravity",274.1
"115","Glenn Close",1361.1,32,42.5,"Guardians of the Galaxy",333.2
"116","Sacha Baron Cohen",1268.9,11,115.4,"Madagascar 3",216.4
"117","Toni Collette",925.5,36,25.7,"Sixth Sense",293.5
"118","Lily Collins",409.5,8,51.2,"The Blind Side",256
